No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
189,aplikasi ini sangat membantu masyarakat yang tidak memiliki banyak waktu untuk mengurus perpanjangan stnk nya,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.904
190,semoga makin banyak yg menggunakan aplikasi ini,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Netral,0.899
191,proses y cepat mudah pengiriman cepat sampai thanks,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.998
192,Subuh min kok saya bayar via mandiri gagal terus ya ada apa ya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.684
193,sudah kali ngurus setiap STNK kendaraan di signal baik motor maupun mobil aman nyaman dan tanpa pungli tingkatkan lebih baik mantap,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.934
194,Mantap jos,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.998
195,mudah cepat tepat sasaran dalam perpanjang STNK,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.998
196,mudah bgt tanpa harus Dateng ke Samsat sukses selalu buat Signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.993
197,Sangat membantu untuk proses pembayaran pajak kendaraan pengalaman penggunaan pertama sukses tidak ada kendala tingkatkan lagi aplikasi signal dan pelayanan agar lebih mudah lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.923
198,pengiriman tidak sampai,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.856
199,mau daftar kedaraan gak bisa mungkin karna beli motor second gak sesuai ktp padahal niatnya mau bayar pajak tapi dipersulit,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.977
200,sampe detik ini stnk belm sampai ke alamat saya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.929
201,membantu untuk pekerja harian tanpa harus ijin buat bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.997
202,sangat membantu tidak perlu ribet ke Samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.994
203,tahun pake ini Alhamdulillah oke STNK sampe dengan selamat,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.972
204,dari semua carut marut kepolisian ini doang yg buat polisi kesayangan kita semua,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.468
205,Alhamdulillah bisa good,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
206,sangat bagus,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.85
207,dan sangat membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
208,tingkatkan lagi,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Netral,0.924
209,maju terus dan semangat buat kepolisian indonesia,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.996
210,ini baru keren cepat dan bisa dikirim tahun kedua pakai aplikasi ini mungkin dipikirkan lagi untuk pajak tahunan bisa online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.531
211,mantaap pelayanan cepat sampai,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
212,membantu yg sedang merantau tanpa harus pulang dulu,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.996
213,Buruk,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.903
214,oke mntap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.971
215,smg lebih baik lg,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.869
216,dan memudahkan masyaraka,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.951
217,sulit masuk,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.552
218,sangat membatu,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.659
219,Alhamdulillah sudah sampai dan sesuai sangat rekomenn bgt kita bisa perpanjang online memudahkan kita yg sibuk di dunia pekerjaan,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.998
220,KOK OTP NYA GAK DIKIRIM PADAHAL UDAH CEK EMAIL WA SAMA PESAN MASIH GAK ADA,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.981
221,WOYYY TOLONG DIFIXING APLIKASINYA DEVELOPER NYA TOLONG STANDBY APALAGI BUGS DI PRODUCTION ITU URGENT DAN CRITICAL KATEGORI NYA UDH BAD MOOD GAK JELAS MENDING UNINSTALL LAGI APK NYA,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.998
222,Sangat membantu bagi yang tidak sempat datang kesamsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.974
223,sangat mudah menggunakannya aplikasi ini gak ribet sangat membantu banget,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.98
224,sangat membantu sekali proses cepat dan mudah tidak pakai ribet serta terjamin terimakasih aplikasi SIGNAL Sukses selalu,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.998
225,mantap ga perlu repot antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
226,satset dikirim dalam hari,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.602
227,nice,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.935
228,sangat puas,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.93
229,bagaimana cara mengatasi login tapi nomor hp sudah terblokir dan alamat email juga tidak hafal,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.862
230,Pelayanan SIGNAL Mantap,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.996
231,cepat mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.98
232,sangat membantu dimasa antrian panjang,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.997
233,bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.42
234,jadi mudaah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.816
235,Mantap banget,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
236,Sangat membantu masyarakat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.958
237,Aplikasi tuh gini ga usah kebanyakan per provinsi buat simpel dan pilihan metode pembayaran nya banyak,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.841
238,Keren,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.898
239,sangat memudahkan untuk orang yang super sibuk terimakasih pak,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Positif,0.972
240,simpel gak perlu ngantri lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
241,good dalam pelayanan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.996
242,kereen aplikasinya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.892
243,ALHAMDULILLAAH,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.563
244,SAMSAT SEMAKIN HEBAT,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.639
245,Tadinya takut mau memperpanjang di aplikasi signal ini memberanikan diri untuk memperpanjang STNK ini di aplikasi signal tapi prosesnya lama banget dan setelah kirim email kasih tanda bukti pembayaran engga lama langsung proses pengiriman dan terimakasih banyak aplikasi signal mempermudah untuk memperpanjang STNK amanah,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.867
246,sukses,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.895
247,Oke mempermudah dalam membayar pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.996
248,So far everything is quite good,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.993
249,Please improve the service especially by speeding up the delivery,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.966
250,bagus cman tolonglah beri kemudahan buat kendaraan second msa hrus nma sndiri nyetor pajak kok sulit amat yg butuh siapa sbenernya bayar pajak tanah rumah aja g seribet ini pdhal klo ad sengketa juga tanah sma rumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.868
251,good job,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
252,ga pake ribet ga pake lama,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.437
253,terimakasihh signal samsat.sangat membantuu,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.483
254,cepat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.799
255,sejauh ini bgus sayang nya tidak bunyi notifikasi jadi kudu rutin terus kita chek nya,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.939
256,kenapa ya pas masuk di aplikasi mau pengesahan stnk tdk berhasil di daftarkan .padhal data nya sdh bener muncul nomor plat nys,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.998
257,masa harus ke samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.377
258,mantafffff,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.726
259,bayar pajak kendaraan bisa dengan mudah sambil dirumah atau dimanapun,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.965
260,lama lelet,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.842
261,sangat memudahkan membayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.797
262,karena ada aplikasi pembayaran pjk online jd memudahkan dan tidak perlu antri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.96
263,mantap amanah dan terpecaya,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
264,mau tanya apakh bisa bayar pajak yg tahunan di aplikasi signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.651
265,pertamakali bayar pajak lewat signal proses mudah dan cepat semoga kedepannya lebih baik lagi,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.973
266,Ok,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.0
267,untuk pembayaran provinsi jawa barat tolong sediain secepatnya,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Netral,0.907
268,Coba daftar utk bayar pajak mobil yg mau jatuh tempo di awal juli ini selalu gagal,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.983
269,mantappppp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.855
270,Pelayanan oke banget cepet kilat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
271,bulan belum d kirim STNKnya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.942
272,memudahkan masyarakat wajib Pajak,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.957
273,sangat cepat proses nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.804
274,sepertinya lagi error ya kode pembayaran suspec timeout di mbanking BCA,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.981
275,jam kemudian generate kode pembayaran baru juga masih error,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.884
276,Apakah berkaitan dengan libur nasional,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Netral,0.88
277,rumit musti pake KTP lah email lah no TLP lah kayak mau lapor kehilangan kendaran saja,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.834
278,jgn donload,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.501
279,Sampai sekarang STNK fisik nya belum sampai,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.647
280,the best kilat tanpa harus antri,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.998
281,Alhamdulillah sudah merasakan manfaat bayar pajak tahunan kendaraan lewat aplikasi SIGNAL dan hasilnya di kirim via pos karena posisi sy di Jawa tengah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
282,Terima kasih SIGNAL,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.965
283,praktis banget,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.986
284,alhamdulilah sangat terbantu pembayaran pajak online tanpa dateng antri terus bisa di antar ke alamat rumah top,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
285,tolong di perbaiki lgi saat proses pengiriman nya agar lebih cepat lagi selebihnya bagus,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.77
286,Aplikasi ini sangat membatu untuk proses perpanjangan stnk semoga tetap di pertahankan dan semakin baik,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.939
287,Terima Kasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
288,Satu kata mantap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.925
289,Terimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.942
290,Sempat terkendala dalam masalah pembayaran alhamdulillah akhirnya bisa terselesaikan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.968
291,memudahkan urusan,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.983
292,memudahkan masyarakat yang sibuk bekerja dan tidak bisa perpanjangan stnk,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.949
293,mantappp,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.979
294,Aplikasi SAMPAH mau bayar pajak aja dipersulit di negara ini masa pendaftaran pengesahan stnk tidak dapat diproses mulu malah disuruh ke samsat jadi apa gunanya bayar online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.999
295,praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.986
296,Sangat membantu mudah cepat pelayanan dan tepat waktu pengiriman,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
297,kenapa ini blm sampe ya stnk saya,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Negatif,0.83
298,Alhamdulillah stelah beberapa lama sltr mingguan akhirnya tiba dirumah surat pajak stnk nya,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.997
299,mudah dan proses sangat cepat,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.987
300,mau melakukan pembayan via online tapi kode virtual account yg di input tidak ada,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.964
301,gimana ceritanya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.449
302,sangat mmbantu jd lebih mudah ajibbbbbb,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.995
303,Memuaskan saya sudah menerima E TBPKP dalam hari sejak pembayaran,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.941
304,sungguh membantu bayar pajak makin satset,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.995
305,percuma bikin aplikasi kalau tetap harus datang ke kantornya,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Negatif,0.976
306,hmmm,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.708
307,saya posisi lagi di luar kota,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.825
308,ga harus kirim dokumen dan antri,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.912
309,tolong kalo bisa ganti kaleng via online juga dong,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.97
310,sangat membantu bravooo,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.967
311,buat bayar gagal melulu tolong di perbaiki sistemnya,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.741
312,dengan aplikasi ini mempermudah pajak tahunan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.676
313,tanpa harus ke kantor samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.596
314,bayar pajak tanpa harus mengantri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.969
315,ini kerennn banget bayar pajak tanpa antri diantar kerumah pula,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
316,cepat dan tepat mantap,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
317,Pepanjang STNK Sudah bulan TAPI Kenapa belum di kirim kirim sampai sekarang,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.985
318,apk yg bagus dan membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.993
319,cukup membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.939
320,ok gak perlu ngantri dan tdk ganggu wktu krja,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.981
321,terimakasih mudah dan lancar,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
322,mudah dan praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
323,pembayaran agak memakan waktu cukup lama d,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.545
324,good aq suka ini tidak perlu ngatri duduk manis aja tanks apl signa sangat membantu untuk saya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.999
325,terpercaya,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.952
326,cepat simpel akurat,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.999
327,minus dalam pengiriman nya sahaja kurang lebih hampir minggu baru ada itupun pengirimnya tidak konfirmasi atau menghubungi bahwa tbpkp sudah di antar ke lokasi dalam bentuk chat atau bukti foto,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.994
328,selebihnya Cukup terus berkembang kedepannya buat tim signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.754
329,cepat dan mudah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.98
330,mau masukin data motor aja susahnya minta ampun,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.994
331,puas banget semua serba satset,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.989
332,kocak tiap mau bayar loading sampe gk beres beres padhal tahun kemren gk gtu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.99
